"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38126","7. Remove all optional values & check history records","","Fri May 23 21:20:28 UTC 2025","passed","Fri May 23 21:21:06 UTC 2025","","Edit Case","",""
"","341713","Add Dispo Task with 11 1DA items and assign to Org Admin, --set different actions for item using all variations--using Actions menu and grid, --check statuses and notes upon submission","","Fri May 23 21:50:27 UTC 2025","failed","Fri May 23 21:56:09 UTC 2025","","Dispo Auth","",""
"","31234","3. Edit and verify reduced number of values on Person View page - Business Name","","Fri May 23 21:28:29 UTC 2025","passed","Fri May 23 21:29:01 UTC 2025","","Edit Person","",""
"","2682","U.A_1. Send verification email","","Fri May 23 21:14:50 UTC 2025","failed","Fri May 23 21:14:52 UTC 2025","","User Actions","",""
"","690","3 Import Locations - Precheck Only","","Fri May 23 21:14:49 UTC 2025","failed","Fri May 23 21:14:50 UTC 2025","","Import Locations","",""
"","34341","1.6. Add Item from Person View/ Items Recovered By -- redirect to Item View/ Notes tab","Add Item","Fri May 23 21:27:45 UTC 2025","passed","Fri May 23 21:28:20 UTC 2025","","1. Org Admin","",""
"","750","I.T_1.1 Import Legacy Tasks for Case","","Fri May 23 21:14:39 UTC 2025","failed","Fri May 23 21:14:40 UTC 2025","","Import Tasks","",""
"","0","4. Import update for item status (Disposal transaction)","","Fri May 23 21:14:13 UTC 2025","skipped","Fri May 23 21:14:13 UTC 2025","","Import Item Updates","",""
"","2","I.N_5 Five thousand tasks and verify count on search","","Fri May 23 21:14:41 UTC 2025","skipped","Fri May 23 21:14:41 UTC 2025","","Import Tasks","",""
"","605","1.1 all fields turned on and edited, ""overwrite existing values"" turned OFF","Mass Update Cases","Fri May 23 21:14:14 UTC 2025","failed","Fri May 23 21:14:15 UTC 2025","","1. all fields enabled in Org Settings","",""
"","108303","3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add Item","Fri May 23 21:31:29 UTC 2025","failed","Fri May 23 21:33:17 UTC 2025","","3 Add Item with Custom Form","",""
"","1","7. Item Updates Import - Precheck Only","","Fri May 23 21:14:13 UTC 2025","skipped","Fri May 23 21:14:13 UTC 2025","","Import Item Updates","",""
"","56030","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Fri May 23 21:17:39 UTC 2025","passed","Fri May 23 21:18:35 UTC 2025","","Edit Case","",""
"","76938","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Fri May 23 21:22:28 UTC 2025","passed","Fri May 23 21:23:45 UTC 2025","","Edit Item","",""
"","23111","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Fri May 23 21:19:22 UTC 2025","passed","Fri May 23 21:19:45 UTC 2025","","Edit Case","",""
